업태명,소재지지번,소재지전화번호,영업일,소재지도로명,메뉴,시군구코드,업소명
경양식,서울특별시 강남구 신사동 594번지 16호 지상1층,,"월-금,토",서울특별시 강남구 논현로158길 31 지상1층 (신사동),숙성등심,11680,등심팩토리
,,,오후 5시 - 오후 11시,,"34,000원",,
,,,휴무일,,숙성안심,,
,,,매주 일요일 (공휴일 정상영업),,"38,000원",,
,,,,,한우 육사시미,,
,,,,,"27,000원",,
경양식,서울특별시 강남구 신사동 594번지 16호 지상1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로158길 31 지상1층 (신사동),메뉴 정보가 없습니다.,11680,강진집
경양식,서울특별시 강남구 신사동 594번지 16호 지상1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로158길 31 지상1층 (신사동),메뉴 정보가 없습니다.,11680,강진 문어 보쌈
경양식,서울특별시 강남구 신사동 567번지 23호,02 5452458,매일,서울특별시 강남구 논현로159길 10 (신사동),메뉴 정보가 없습니다.,11680,오라오라
,,,오전 9시 - 오후 10시,,,,
경양식,서울특별시 강남구 신사동 566번지 14호,,"월,화,목,금,토/일",서울특별시 강남구 논현로159길 17 1층 101호 (신사동),버터 밀크 팬케익 세트,11680,버터밀크 비스킷
,,,오전 10시 - 오후 5시 (재료 소진시 영업종료),,"7,800원",,
,,,휴무일,,리코타 치즈 팬케익 세트,,
,,,매주 수요일,,"8,800원",,
,,,,,토마토 수프 (10월~3월),,
,,,,,"4,200원",,
경양식,서울특별시 강남구 신사동 566번지 13호 1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로159길 21 (신사동1층),메뉴 정보가 없습니다.,11680,몰토2
경양식,서울특별시 강남구 신사동 567번지 35호,,"월-금,토",서울특별시 강남구 논현로159길 22-1 지상1층 101호 (신사동),햄버거,11680,에디버거
,,,오전 11시 - 오후 8시,,"7,800원",,
,,,휴무일,,치즈버거,,
,,,매주 일요일,,"8,300원",,
,,,,,베이컨치즈버거,,
,,,,,"8,800원",,
경양식,서울특별시 강남구 신사동 567번지 35호,,매일,서울특별시 강남구 논현로159길 22-1 지상1층 101호 (신사동),해물짜장면,11680,영상총각의 키친
,,,오전 11시 - 오후 10시,,"10,000원",,
,,,,,가지 덮밥,,
,,,,,"11,000원",,
,,,,,잡채밥,,
,,,,,"11,000원",,
경양식,서울특별시 강남구 신사동 551번지 24호,02 540 1525,영업시간 정보가 없습니다.,서울특별시 강남구 논현로159길 46-5 지상1층 (신사동),메뉴 정보가 없습니다.,11680,세계일주-고두비
경양식,서울특별시 강남구 신사동 554번지 0호 지상1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로159길 57 (신사동지상1층),메뉴 정보가 없습니다.,11680,헝그리걸
경양식,서울특별시 강남구 신사동 545번지 1호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로159길 65 지상1층 (신사동),메뉴 정보가 없습니다.,11680,머그포래빗
경양식,서울특별시 강남구 신사동 545번지 1호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로159길 65 지상2층 (신사동),메뉴 정보가 없습니다.,11680,책읽는토끼
경양식,서울특별시 강남구 신사동 545번지 1호 지하12층,,아메리카노,서울특별시 강남구 논현로159길 65 지하12층 (신사동),메뉴 정보가 없습니다.,11680,히든(HIDDEN)
,,,"3,500원",,,,
,,,카페라떼,,,,
,,,"4,000원",,,,
,,,바닐라라떼,,,,
,,,"4,500원",,,,
경양식,서울특별시 강남구 신사동 545번지 1호 지하12층,,화-목,서울특별시 강남구 논현로159길 65 지하12층 (신사동),곱도리탕,11680,영국포차
,,,오후 3시 30분 - 오전 1시,,"32,000원",,
,,,금요일,,,,
,,,오후 3시 30분 - 오전 2시,,,,
경양식,서울특별시 강남구 신사동 545번지 1호 지하12층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로159길 65 지하12층 (신사동),메뉴 정보가 없습니다.,11680,히든라운지
경양식,서울특별시 강남구 신사동 551번지 11호,,매일,서울특별시 강남구 논현로161길 57 지상1층 102호 (신사동),아메리카노,11680,러브앤프리(Love And Free)
,,,오전 11시 - 오후 11시,,"4,000원",,
,,,,,클럽 샌드위치 세트,,
,,,,,"9,900원",,
,,,,,치아바타 샌드위치 세트,,
,,,,,"9,900원",,
경양식,서울특별시 강남구 신사동 551번지 11호,,매일,서울특별시 강남구 논현로161길 57 지상2층 (신사동),알리오올리오,11680,스킬렛(Skillet)
,,,오전 10시 30분 - 오후 9시 30분,,"12,900원",,
,,,,,베이커새우필라프,,
,,,,,"14,900원",,
경양식,서울특별시 강남구 신사동 570번지 6호 베드로빌딩 1층,02 5120998,영업시간 정보가 없습니다.,서울특별시 강남구 논현로163길 10 (신사동베드로빌딩 1층),메뉴 정보가 없습니다.,11680,잔칫집
경양식,서울특별시 강남구 신사동 569번지 21호,,매일,서울특별시 강남구 논현로163길 11 (신사동),메뉴 정보가 없습니다.,11680,레몬
,,,오전 11시 30분 - 오후 9시,,,,
경양식,서울특별시 강남구 신사동 569번지 21호 지하1층,,월-금,서울특별시 강남구 논현로163길 11 (신사동지하1층),메뉴 정보가 없습니다.,11680,압구정락앤롤
,,,오전 11시 - 오후 10시,,,,
,,,휴무일,,,,
,,,매주 토/일,,,,
경양식,서울특별시 강남구 신사동 569번지 13호 1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로163길 13-6 1층 (신사동),메뉴 정보가 없습니다.,11680,일일일번
경양식,서울특별시 강남구 신사동 600번지 13호 지하B-101호,02 549 4142,월-금,서울특별시 강남구 논현로164길 11 (신사동지하B-101호),아메리카노,11680,까페바소
,,,오전 9시 - 오후 9시,,"3,500원",,
,,,월요일,,바소시그니처라떼,,
,,,오전 10시 - 오후 5시,,"5,000원",,
,,,,,자몽에이드,,
,,,,,"5,500원",,
경양식,서울특별시 강남구 신사동 596번지 1층-102,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로164길 18 1층 102호 (신사동 청오빌딩),메뉴 정보가 없습니다.,11680,타로블라썸
경양식,서울특별시 강남구 신사동 596번지 11호 지상12층,,"월-금,토",서울특별시 강남구 논현로164길 22 (신사동지상12층),사시미 모듬,11680,퍼펫 신사점
,,,오후 5시 - 오전 2시,,"45,000원",,
,,,휴무일,,야끼돈부리,,
,,,매주 일요일,,"10,000원",,
,,,,,신사 특초밥,,
,,,,,"15,000원",,
경양식,서울특별시 강남구 신사동 594번지 33호 칼릭스빌C동지하1층,02 5113830,영업시간 정보가 없습니다.,서울특별시 강남구 논현로164길 38 (신사동칼릭스빌C동지하1층),메뉴 정보가 없습니다.,11680,버진
경양식,서울특별시 강남구 신사동 600번지 2호 지하1층,,매일,서울특별시 강남구 논현로168길 18 (신사동지하1층),아메리카노,11680,소호
,,,오전 11시 30분 - 오후 11시 30분,,"6,000원",,
,,,,,바닐라라떼,,
,,,,,"7,000원",,
,,,,,허니&와플,,
,,,,,"14,000원",,
경양식,서울특별시 강남구 신사동 600번지 4호 계진빌딩지상1층,0-541-0052,매일,서울특별시 강남구 논현로168길 22 (신사동계진빌딩지상1층),생맥주 500cc,11680,코펜하겐
,,,오전 11시 30분 - 오전 1시 (일요일 휴무),,"3,000원",,
,,,,,후라이드치킨(감자튀김포함),,
,,,,,"18,000원",,
,,,,,골뱅이소면,,
,,,,,"18,000원",,
경양식,서울특별시 강남구 개포동 1222번지 12호,02-0574-6128,꼬치5종,서울특별시 강남구 논현로16길 16 (개포동),메뉴 정보가 없습니다.,11680,무지개
,,,"13,000원",,,,
,,,고기조림 정식,,,,
,,,"10,000원",,,,
,,,중화탄탄 정식,,,,
,,,"10,000원",,,,
경양식,서울특별시 강남구 개포동 1219번지 0호 지하1층,02 5746397,영업시간 정보가 없습니다.,서울특별시 강남구 논현로16길 30 (개포동지하1층),메뉴 정보가 없습니다.,11680,까뮤
경양식,서울특별시 강남구 개포동 1227번지 11호,,월-금,서울특별시 강남구 논현로16길 6 호애빌딩 지상1층 103호 (개포동),혜화동 양파돈까스,11680,혜화동 돈까스 극장
,,,오전 10시 30분 - 오후 9시,,"8,500원",,
,,,토요일,,혜화동 옛날돈까스,,
,,,오전 10시 30분 - 오후 9시 30분,,"7,900원",,
,,,,,숯불파채돈까스,,
,,,,,"8,500원",,
경양식,서울특별시 강남구 신사동 525번지 19호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 101 (신사동),메뉴 정보가 없습니다.,11680,챕터1(Chapter1)
경양식,서울특별시 강남구 신사동 525번지 19호 지상1층,0-3444-7559,매일,서울특별시 강남구 논현로175길 101 (신사동지상1층),갈치찌개,11680,우리식당
,,,오전 8시 - 오후 8시,,"15,000원",,
,,,,,갈치구이,,
,,,,,"20,000원",,
,,,,,갈치회무침,,
,,,,,20000~40000,,
경양식,서울특별시 강남구 신사동 525번지 19호 지상1층,0-3444-7559,"월-금,토",서울특별시 강남구 논현로175길 101 (신사동지상1층),달 돈까스,11680,달식당
,,,오전 10시 - 오후 9시,,"7,500원",,
,,,휴무일,,반달 돈까스,,
,,,매주 일요일 (재료준비),,"4,000원",,
,,,,,스페셜 김밥,,
,,,,,"2,000원",,
경양식,서울특별시 강남구 신사동 525번지 22호,02 5456677,"월-금,토",서울특별시 강남구 논현로175길 101-3 1층 (신사동),와인 300종,11680,마마논마마
,,,오후 5시 30분 - 오전 2시,,30000~200000,,
,,,,,<여름 메뉴 추천> 유자 폰즈 소스의 카펠리니 콜드 해산물 파스타,,
,,,,,"21,000원",,
,,,,,<여름 메뉴 추천> 수제 리코타 치즈를 곁들인 카프레제 샐러드 피자,,
,,,,,"22,000원",,
경양식,서울특별시 강남구 신사동 525번지 22호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 101-3 지상2층 (신사동),메뉴 정보가 없습니다.,11680,이안
경양식,서울특별시 강남구 신사동 525번지 22호,02 5456677,"월-금,토",서울특별시 강남구 논현로175길 101-3 지하1층 (신사동),와인 300종,11680,마마논마마
,,,오후 5시 30분 - 오전 2시,,30000~200000,,
,,,,,<여름 메뉴 추천> 유자 폰즈 소스의 카펠리니 콜드 해산물 파스타,,
,,,,,"21,000원",,
,,,,,<여름 메뉴 추천> 수제 리코타 치즈를 곁들인 카프레제 샐러드 피자,,
,,,,,"22,000원",,
경양식,서울특별시 강남구 신사동 525번지 22호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 101-3 지하1층 (신사동),메뉴 정보가 없습니다.,11680,플럭스 커뮤니티
경양식,서울특별시 강남구 신사동 525번지 23호 지상2층,,매일,서울특별시 강남구 논현로175길 101-5 지상2층 (신사동),바삭 마늘버터 깔라마리 샐박,11680,뜨리앙
,,,오전 11시 - 오후 10시 (명절 연휴 휴무),,"19,800원",,
,,,,,허니 리코타 범벅 치킨 샐박,,
,,,,,"19,800원",,
,,,,,오리엔탈 차돌 샐박,,
,,,,,"20,900원",,
경양식,서울특별시 강남구 신사동 525번지 9호 컨템포빌딩,,"월-금,토",서울특별시 강남구 논현로175길 109 컨템포빌딩 지상1층 (신사동),사시미 모듬,11680,525 신사
,,,오후 5시 - 오전 2시,,"45,000원",,
,,,휴무일,,야끼돈부리,,
,,,매주 일요일,,"10,000원",,
,,,,,신사 특초밥,,
,,,,,"15,000원",,
경양식,서울특별시 강남구 신사동 578번지 1호,,월-금,서울특별시 강남구 논현로175길 11 지상1층 (신사동),아메리카노,11680,컴스고스(comesgoes)
,,,오전 8시 30분 - 오후 9시,,"3,800원",,
,,,토/일,,아이스 아메리카노,,
,,,오전 10시 - 오후 6시,,"4,500원",,
,,,,,아인슈페너 라떼,,
,,,,,"5,500원",,
경양식,서울특별시 강남구 신사동 525번지 1호 이룸빌딩지하1층,,"월-금,토",서울특별시 강남구 논현로175길 113 (신사동이룸빌딩지하1층),프렌치 5코스(사전 예약 필수),11680,부숑
,,,정오 12시 - 오후 10시,,"50,000원",,
,,,"쉬는시간 매주 월-금,토",,프렌치 7코스(사전 예약 필수),,
,,,오후 3시 - 오후 6시,,"80,000원",,
경양식,서울특별시 강남구 신사동 578번지 2호,,월-금,서울특별시 강남구 논현로175길 17 지상1층 (신사동),닭가슴살샌드위치,11680,메이드
,,,오전 11시 - 오후 9시,,"18,000원",,
,,,토/일,,파스타,,
,,,오전 10시 - 오후 9시,,"19,000원",,
,,,,,아보카도샐러드,,
,,,,,"18,000원",,
경양식,서울특별시 강남구 신사동 579번지 6호,02-0542-5118,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 18 (신사동),메뉴 정보가 없습니다.,11680,제우스
경양식,서울특별시 강남구 신사동 579번지 6호 지하1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 18 (신사동지하1층),메뉴 정보가 없습니다.,11680,블랙스톤즈
경양식,서울특별시 강남구 신사동 578번지 0호,02 5414613,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 19 (신사동),메뉴 정보가 없습니다.,11680,카스앤락
경양식,서울특별시 강남구 신사동 577번지 0호,02-0544-2209,매일,서울특별시 강남구 논현로175길 25 (신사동),양송이 꼬치 3개,11680,방추
,,,오후 5시 - 오전 2시 (연중무휴.),,"12,000원",,
,,,,,베이컨 꼬치 3개,,
,,,,,"12,000원",,
,,,,,은행꼬치 3개,,
,,,,,"12,000원",,
경양식,서울특별시 강남구 신사동 577번지 0호 지상2층,02 9152923,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 25 (신사동지상2층),메뉴 정보가 없습니다.,11680,쥬만지
경양식,서울특별시 강남구 신사동 577번지 지하층,02 5468989,매일,서울특별시 강남구 논현로175길 25 (신사동지하층),"소갈비아사도(1인분,500~550g)",11680,화사랑
,,,오전 11시 30분 - 오후 11시,,"45,000원",,
,,,,,"양갈비아사도(1인분,450~500g)",,
,,,,,"45,000원",,
경양식,서울특별시 강남구 신사동 572번지 1호 .지하1층,02 501 1905,"화,수,목,금,토/일",서울특별시 강남구 논현로175길 39 (신사동.지하1층),레몬차,11680,베아트리체
,,,오전 11시 - 오후 11시,,"5,000원",,
,,,휴무일,,카페 아메리카노,,
,,,매주 월요일,,"4,000원",,
,,,,,바닐라라떼,,
,,,,,"5,000원",,
경양식,서울특별시 강남구 신사동 572번지 1호 .지하1층,02 501 1905,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 39 (신사동.지하1층),메뉴 정보가 없습니다.,11680,갤러리크레파스
경양식,서울특별시 강남구 신사동 572번지 1호,,월-금,서울특별시 강남구 논현로175길 39 지상1층 (신사동),닭가슴살샌드위치,11680,메이드
,,,오전 11시 - 오후 9시,,"18,000원",,
,,,토/일,,파스타,,
,,,오전 10시 - 오후 9시,,"19,000원",,
,,,,,아보카도샐러드,,
,,,,,"18,000원",,
경양식,서울특별시 강남구 신사동 574번지 8호,,월-금,서울특별시 강남구 논현로175길 40 지상1층 104호 (신사동),저당도 생크림 케이크,11680,크로네
,,,오전 7시 30분 - 오후 10시,,"26,000원",,
,,,토요일,,산딸기케이크,,
,,,오전 8시 30분 - 오후 10시,,"29,000원",,
,,,,,초코바나나케이크,,
,,,,,"29,000원",,
경양식,서울특별시 강남구 신사동 550번지 1호 지상1층,,월-금,서울특별시 강남구 논현로175길 69 (신사동지상1층),비프크림 파스타 런치,11680,킹콩스테이크
,,,오전 11시 30분 - 오후 10시 30분 ( / 런치 Last Order 14:30 / Last order 21:30 (주말break time없음)),,"9,000원",,
,,,,,씨푸드 사천 파스타 런치,,
,,,,,"10,000원",,
,,,,,씨푸드 크림 파스타 런치,,
,,,,,"11,000원",,
경양식,서울특별시 강남구 신사동 550번지 1호 지상2층,,"월-금,토",서울특별시 강남구 논현로175길 69 (신사동지상2층),돈코츠 라멘,11680,하코네
,,,오전 11시 - 오후 8시 30분,,"6,000원",,
,,,토요일,,돈코츠쇼유라멘,,
,,,오전 11시 - 오후 8시 30분,,"7,000원",,
,,,,,매운돈코츠라멘,,
,,,,,"7,000원",,
경양식,서울특별시 강남구 신사동 581번지 0호 지하1층,02 5161930,월-금,서울특별시 강남구 논현로175길 7 (신사동지하1층),한우곱창떡볶이,11680,비어헌터압구정점
,,,오전 11시 - 자정 12시 (라스트오더: 23시),,"23,000원",,
,,,토/일,,진짜차돌떡볶이,,
,,,오전 11시 - 오전 2시 (라스트오더: 1시),,"18,000원",,
,,,,,남도순대떡볶이,,
,,,,,"16,000원",,
경양식,서울특별시 강남구 신사동 547번지 5호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로175길 75 지상2층 (신사동),메뉴 정보가 없습니다.,11680,마히나 비건테이블
경양식,서울특별시 강남구 신사동 547번지 5호,02 5427894,월-금,서울특별시 강남구 논현로175길 75 지하1층 (신사동),스텔라 아르토아,11680,옐로우자켓
,,,오후 7시 - 오전 2시,,"8,000원",,
,,,"금,토",,기네스,,
,,,오후 7시 - 오전 3시,,"12,000원",,
,,,,,하우스 와인,,
,,,,,"10,000원",,
경양식,서울특별시 강남구 신사동 613번지 3호 지상2층,0-546-9829,매일,서울특별시 강남구 논현로176길 20 (신사동지상2층),아메리카노,11680,에이치
,,,오전 10시 - 오후 10시,,"3,500원",,
,,,,,파블로바,,
,,,,,"8,500원",,
경양식,서울특별시 강남구 신사동 613번지 2호 지하1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로176길 22 (신사동지하1층),메뉴 정보가 없습니다.,11680,해피데이
경양식,서울특별시 강남구 신사동 613번지 15호,02 5156087,매일,서울특별시 강남구 논현로176길 28 (신사동),탄두리 치킨 한마리 (4PCS),11680,뉴델리
,,,오전 11시 - 오후 9시,,"16,000원",,
,,,,,치킨 마크니,,
,,,,,"12,000원",,
,,,,,램 도 피아자,,
,,,,,"12,000원",,
경양식,서울특별시 강남구 개포동 1235번지 2호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로18길 14-6 지하1층 (개포동),메뉴 정보가 없습니다.,11680,듄(dune)
경양식,서울특별시 강남구 개포동 1236번지 20호 지상1층,,"화,수,목,금",서울특별시 강남구 논현로20길 4-11 지상1층 (개포동),삼선짜장면,11680,(주)쿠치나송
,,,오전 11시 30분 - 오후 9시 30분,,"8,000원",,
,,,"쉬는시간 매주 화,수,목,금",,삼선짬뽕,,
,,,오후 3시 - 오후 5시,,"9,000원",,
,,,,,전가복,,
,,,,,"85,000원",,
경양식,서울특별시 강남구 개포동 1236번지 20호 지상1층,,월-금,서울특별시 강남구 논현로20길 4-11 지상1층 (개포동),제주 딱새우 명란 파스타,11680,4.2캐쥬얼다이닝
,,,오전 8시 30분 - 오후 10시 (라스트오더 21:00),,"19,000원",,
,,,토/일,,제주 뿔소라 리조또,,
,,,오전 9시 - 오후 10시 (라스트오더 21:00),,"21,000원",,
,,,,,프로슈토 루꼴라,,
,,,,,"20,000원",,
경양식,서울특별시 강남구 도곡동 455번지 3호,,매일,서울특별시 강남구 논현로24길 37 지상1층 102호 (도곡동),핸드드립,11680,트릿츠 바이 유니스(Treats by Eunice)
,,,오전 9시 - 오후 9시 30분,,"4,500원",,
경양식,서울특별시 강남구 도곡동 423번지 10호 지상2층,02-6925-4895,"화,수,목,금,토/일",서울특별시 강남구 논현로26길 41 지상2층 (도곡동),아메리카노,11680,셀라(Cella)
,,,정오 12시 - 오후 10시,,"3,500원",,
,,,휴무일,,,,
,,,매주 월요일,,,,
경양식,서울특별시 강남구 도곡동 457번지 3호 지상1층,,매일,서울특별시 강남구 논현로26길 46-6 (도곡동지상1층),아메리카노,11680,카페 아지토
,,,오전 11시 - 오후 11시,,"4,500원",,
,,,일요일,,마카다미아넛라떼,,
,,,오전 11시 - 오후 9시,,"6,500원",,
,,,,,핫초코렛,,
,,,,,"6,800원",,
경양식,서울특별시 강남구 도곡동 458번지 2호,,월-금,서울특별시 강남구 논현로26길 52 지상1층 (도곡동 한설빌딩),어니언 수프,11680,라퀴진
,,,오전 11시 - 오후 10시 (월~금 이용시간 11시~22시),,"10,000원",,
,,,토/일,,스테이크,,
,,,"정오 12시 - 오후 9시 (주말,공휴일 12시~21시 예약시 원하시는 시간 이용가능합니다.)",,26000~49000,,
,,,,,화덕피자,,
,,,,,20000~21000,,
경양식,서울특별시 강남구 도곡동 422번지 6호,,매일,서울특별시 강남구 논현로26길 55 지상1층 (도곡동),런치 코스,11680,리베르떼
,,,정오 12시 - 오후 3시 (런치),,"35,000원",,
,,,매일,,디너코스,,
,,,오후 6시 - 오후 10시 (디너),,"85,000원",,
,,,,,런치 페어링,,
,,,,,"30,000원",,
경양식,서울특별시 강남구 도곡동 422번지 6호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로26길 55 지상1층 (도곡동),메뉴 정보가 없습니다.,11680,아꼬떼
경양식,서울특별시 강남구 도곡동 424번지 2호,,"월-목,일",서울특별시 강남구 논현로28길 14 지하1층 (도곡동),칵테일,11680,오드비
,,,오후 7시 - 오전 2시,,13000~18000,,
,,,"금,토",,위스키,,
,,,오후 8시 - 오전 3시,,12000~30000,,
경양식,서울특별시 강남구 도곡동 424번지 6호,02 402 7023,매일,서울특별시 강남구 논현로28길 24 지상1층 (도곡동),Pungryurang,11680,풍류랑
,,,오전 11시 - 오후 3시 (Last Order PM 2:30),,"7,800원",,
,,,매일,,Classic,,
,,,오후 3시 - 오후 4시 (Breake time PM 3:00~4:00),,"9,500원",,
,,,,,Classic Bacon,,
,,,,,"11,300원",,
경양식,서울특별시 강남구 도곡동 517번지 13호 지상1층,0-571-5870,매일,서울특별시 강남구 논현로28길 27 (도곡동지상1층),김가네김밥,11680,김가네김밥
,,,오전 9시 - 오후 9시,,돈까스롤김밥,,
,,,,,멸추김밥,,
경양식,서울특별시 강남구 도곡동 517번지 13호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로28길 27 지하1층 (도곡동),메뉴 정보가 없습니다.,11680,티에스에프(TSF)
경양식,서울특별시 강남구 도곡동 517번지 11호 지상1층,,매일,서울특별시 강남구 논현로28길 29 (도곡동지상1층),핸드드립커피,11680,프레스카
,,,오전 10시 - 오후 10시 (시즌별 탄력운영),,5500~8500,,
,,,토요일,,더블 에스프레소 커피,,
,,,오전 8시 30분 - 오후 10시,,4300~6500,,
,,,,,더치커피,,
,,,,,5000~6000,,
경양식,서울특별시 강남구 도곡동 423번지 2호 지상1층,02 574 7896,영업시간 정보가 없습니다.,서울특별시 강남구 논현로28길 34 (도곡동지상1층),메뉴 정보가 없습니다.,11680,커핀그루나루 도곡점
경양식,서울특별시 강남구 도곡동 423번지 2호 지상1층,02 574 7896,월-금,서울특별시 강남구 논현로28길 34 (도곡동지상1층),Salted Caramel 솔티드카라멜 스콘,11680,심재
,,,오전 8시 - 오후 10시,,"4,500원",,
,,,토/일,,Mixed Berries 믹스베리 스콘,,
,,,오전 11시 - 오후 10시,,"4,500원",,
,,,,,Earl Grey 얼그레이 스콘,,
,,,,,"4,500원",,
경양식,서울특별시 강남구 도곡동 420번지 17호 지상1층,,매일,서울특별시 강남구 논현로28길 41 (도곡동지상1층),콩나물국밥,11680,콩뿌리 콩나물국밥
,,,24시간 영업,,"7,000원",,
,,,,,황태콩나물국밥,,
,,,,,"8,000원",,
,,,,,오징어콩나물국밥,,
,,,,,"8,000원",,
경양식,서울특별시 강남구 도곡동 420번지 8호,,매일,서울특별시 강남구 논현로30길 52 1층 (도곡동),에클레어,11680,작품
,,,오전 10시 - 자정 12시,,"5,000원",,
경양식,서울특별시 강남구 도곡동 412번지 9호,,매일,서울특별시 강남구 논현로36길 17 지상1층 (도곡동),통베이컨오일파스타,11680,리스토랑
,,,정오 12시 - 오후 10시 30분 (월요일 휴무),,"15,000원",,
,,,,,크림파스타,,
,,,,,"17,000원",,
,,,,,비프타르타르(프랑스식육회),,
,,,,,"18,000원",,
경양식,서울특별시 강남구 도곡동 416번지 11호,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로36길 21 (도곡동),메뉴 정보가 없습니다.,11680,보니엠
경양식,서울특별시 강남구 도곡동 415번지 희망빌딩,,월요일,서울특별시 강남구 논현로36길 22 희망빌딩 지상1층 101호 (도곡동),Americano,11680,올리브그레인 앤 와인(OliveGrain & Wine)
,,,오전 9시 - 오후 7시,,"4,000원",,
,,,수-금,,Weekly Juice,,
,,,오전 9시 - 오후 7시,,"5,500원",,
,,,,,Lemon Ade,,
,,,,,"6,000원",,
경양식,서울특별시 강남구 도곡동 416번지 8호 지상1층,,매일,서울특별시 강남구 논현로36길 27 지상1층 (도곡동),아메리카노,11680,빈티지 라운지
,,,정오 12시 - 오후 10시,,"5,000원",,
,,,,,카페라떼,,
,,,,,"5,500원",,
,,,,,플랫 화이트,,
,,,,,"5,500원",,
경양식,서울특별시 강남구 도곡동 416번지 7호 지하1층(B01),,아메리카노,서울특별시 강남구 논현로36길 29 지하1층 (도곡동 (B01)),메뉴 정보가 없습니다.,11680,목수
,,,"4,000원",,,,
,,,카페라떼,,,,
,,,"4,500원",,,,
,,,크림카페라떼,,,,
,,,"5,000원",,,,
경양식,서울특별시 강남구 도곡동 412번지 6호 지하1층,02 5746694,월-금,서울특별시 강남구 논현로38길 20 지하1층 (도곡동),즉석 고추장 떡볶이 1인분,11680,크리스탈
,,,정오 12시 30분 - 오후 6시,,"2,000원",,
,,,토요일,,즉석 고추장+짜장 1인분,,
,,,정오 12시 30분 - 오후 8시 30분,,"2,000원",,
,,,,,라볶이,,
,,,,,"4,000원",,
경양식,서울특별시 강남구 도곡동 412번지 6호 지하1층,02 5746694,영업시간 정보가 없습니다.,서울특별시 강남구 논현로38길 20 지하1층 (도곡동),메뉴 정보가 없습니다.,11680,일군단
경양식,서울특별시 강남구 도곡동 416번지 2호 .지하1층,02 579 6282,매일,서울특별시 강남구 논현로38길 28 (도곡동.지하1층),생맥주 세트,11680,레드제플린
,,,오후 6시 - 오전 3시 (연중무휴),,"24,000원",,
,,,,,수입병맥주 세트,,
,,,,,"25,000원",,
,,,,,호가든,,
,,,,,"6,500원",,
경양식,서울특별시 강남구 도곡동 416번지 2호 지상1층,0-579-6282,영업시간 정보가 없습니다.,서울특별시 강남구 논현로38길 28 (도곡동지상1층),메뉴 정보가 없습니다.,11680,모두의쭈꾸미
경양식,서울특별시 강남구 도곡동 416번지 2호 지상1층,0-579-6282,영업시간 정보가 없습니다.,서울특별시 강남구 논현로38길 28 (도곡동지상1층),메뉴 정보가 없습니다.,11680,삼곱식당 매봉역점
경양식,서울특별시 강남구 도곡동 417번지 7호 지상1층,02 5749789,족발 대,서울특별시 강남구 논현로38길 32-11 (도곡동지상1층),메뉴 정보가 없습니다.,11680,사계솔
,,,"38,000원",,,,
,,,보쌈 대,,,,
,,,"37,000원",,,,
,,,보쌈 중,,,,
,,,"32,000원",,,,
경양식,서울특별시 강남구 도곡동 418번지 10호 지하1층,,영업시간 정보가 없습니다.,서울특별시 강남구 논현로38길 38-3 (도곡동지하1층),메뉴 정보가 없습니다.,11680,이모포차
경양식,서울특별시 강남구 도곡동 417번지 1호,02-3461-1534,매일,서울특별시 강남구 논현로38길 38-4 (도곡동),메뉴 정보가 없습니다.,11680,파라디
,,,오전 11시 - 오후 11시,,,,
경양식,서울특별시 강남구 도곡동 418번지 9호 지상1층,0-2075-6555,"월-금,일",서울특별시 강남구 논현로38길 38-5 (도곡동지상1층),문어삼합,11680,문어야
,,,오후 5시 10분 - 오전 3시,,"40,000원",,
,,,,,문어숙회(중),,
,,,,,"35,000원",,
,,,,,숙연set(문어숙회+연어사시미),,
,,,,,"40,000원",,
경양식,서울특별시 강남구 도곡동 419번지 9호 지하1층,02 5755507,영업시간 정보가 없습니다.,서울특별시 강남구 논현로38길 46-3 (도곡동지하1층),메뉴 정보가 없습니다.,11680,뮤
경양식,서울특별시 강남구 도곡동 418번지 2호 지하1층,,"월-금,토",서울특별시 강남구 논현로38길 46-6 (도곡동지하1층),닭볶이,11680,도토리
,,,오전 11시 - 오후 9시 (매주 일요일 휴무),,"7,000원",,
