업태명	소재지지번	소재지전화번호	영업일	소재지도로명	메뉴	시군구코드	업소명
경양식	서울특별시 강남구 삼성동 120번지 2호 지상1층	0-568-9086	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로 561 (삼성동지상1층)	메뉴 정보가 없습니다.	11680	한국피자헛 삼성중앙점
경양식	서울특별시 강남구 삼성동 119번지 9호 지하2층		매일	서울특별시 강남구 삼성로 571 (삼성동지하2층)	떡볶이(보통맛/매운맛)	11680	스케치북
			오후 6시 - 오전 4시 (매주 일 휴무)		"5,500원"		
					치떡(보통맛/매운맛)		
					"11,000원"		
					기네스		
					"7,000원"		
경양식	서울특별시 강남구 삼성동 119번지 9호 지하2층		월-금	서울특별시 강남구 삼성로 571 (삼성동지하2층)	치즈함박 토마토소스 파스타	11680	피카소
			오전 11시 - 자정 12시		"13,000원"		
			토요일		쉬림프 크림피자		
			정오 12시 - 자정 12시		"13,000원"		
					set 1		
					"29,500원"		
경양식	서울특별시 강남구 삼성동 119번지 3호 지하1층	0-512-1056	매일	서울특별시 강남구 삼성로 573 (삼성동지하1층)	매운소갈비찜 반판(3대)	11680	강남콩
			오후 2시 - 자정 12시 (L.O 23:30)		"29,000원"		
					매운 소갈비찜 한판(5대)		
					"39,000원"		
					매운 소갈비찜 두판)(9대		
					"69,000원"		
경양식	서울특별시 강남구 삼성동 119번지 3호 지하1층	0-512-1056	매일	서울특별시 강남구 삼성로 573 (삼성동지하1층)	1인 런치 커리라이스	11680	마샬
			오전 11시 - 오후 11시 (라스트오더 22:00)		"7,000원"		
					2인 런치 커리라이스세트		
					"19,000원"		
					탄두리 치킨(1마리)		
					"16,000원"		
경양식	서울특별시 강남구 삼성동 119번지 3호 지하1층	0-512-1056	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로 573 (삼성동지하1층)	메뉴 정보가 없습니다.	11680	블링
경양식	서울특별시 강남구 삼성동 119번지 3호 지하1층	0-512-1056	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로 573 (삼성동지하1층)	메뉴 정보가 없습니다.	11680	윈
경양식	서울특별시 강남구 삼성동 119번지 3호 지하1층	0-512-1056	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로 573 (삼성동지하1층)	메뉴 정보가 없습니다.	11680	마우라
경양식	서울특별시 강남구 삼성동 70번지 6호 지상123층	02 5475574	"화,수,목,금"	서울특별시 강남구 삼성로 614 (삼성동지상123층)	삼선짜장면	11680	(주)에땅끌레르
			오전 11시 30분 - 오후 9시 30분		"8,000원"		
			"쉬는시간 매주 화,수,목,금"		삼선짬뽕		
			오후 3시 - 오후 5시		"9,000원"		
					전가복		
					"85,000원"		
경양식	서울특별시 강남구 삼성동 65번지 0호 삼성빌딩101	02 5469950	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로 642 (삼성동삼성빌딩101)	메뉴 정보가 없습니다.	11680	연지식당
경양식	서울특별시 강남구 삼성동 65번지 0호 삼성빌딩지상2층2호	02 5492345	매일	서울특별시 강남구 삼성로 642 (삼성동삼성빌딩지상2층2호)	오룡해삼	11680	비어플러스청담점
			오전 11시 - 오후 10시		"80,000원"		
					황태짬뽕		
					"10,000원"		
					삼선짬뽕		
					"10,000원"		
경양식	서울특별시 강남구 삼성동 52번지 1호 지상1층	02-6240-9812	월-금	서울특별시 강남구 삼성로 648 지상1층 (삼성동)	에스프레소	11680	썸카페(SUM CAFE)
			오전 10시 - 오후 9시 (카페)		"6,000원"		
			월-금		아메리카노		
			오전 11시 30분 - 오후 9시 (레스토랑)		"6,000원"		
					드립커피		
					"6,000원"		
경양식	서울특별시 강남구 삼성동 52번지 1호 지상1층	02-6240-9812	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로 648 지상1층 (삼성동)	메뉴 정보가 없습니다.	11680	에스엠타운카페 커뮤니케이션센터
경양식	서울특별시 강남구 삼성동 52번지 송전빌딩		월-금	서울특별시 강남구 삼성로 654 지상1층 (삼성동)	미트소스스파게티	11680	스파게티스토리
			오전 11시 - 오후 9시		"4,500원"		
			토/일		해산물스파게티		
			오전 11시 30분 - 오후 9시		"5,000원"		
					토마토양송이스파게티		
					"4,000원"		
경양식	서울특별시 강남구 청담동 63번지 18호 경원빌딩	02 511 1549	매일	서울특별시 강남구 삼성로 726 경원빌딩 지상1층 (청담동)	오룡해삼	11680	(주)엔에프앤비 청담점
			오전 11시 - 오후 10시		"80,000원"		
					황태짬뽕		
					"10,000원"		
					삼선짬뽕		
					"10,000원"		
경양식	서울특별시 강남구 청담동 9번지 1호	02 5114271	월-금	서울특별시 강남구 삼성로 755 지하1층 (청담동)	치즈함박 토마토소스 파스타	11680	피카소
			오전 11시 - 자정 12시		"13,000원"		
			토요일		쉬림프 크림피자		
			정오 12시 - 자정 12시		"13,000원"		
					set 1		
					"29,500원"		
경양식	서울특별시 강남구 청담동 9번지 1호	02 5114271	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로 755 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	갤러리카페 피카소
경양식	서울특별시 강남구 삼성동 153번지 48호 지상1층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로100길 23-12 (삼성동지상1층)	메뉴 정보가 없습니다.	11680	아트지오 치킨 잇수다
경양식	서울특별시 강남구 삼성동 153번지 47호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로100길 23-14 지상2층 (삼성동)	메뉴 정보가 없습니다.	11680	제이엠
경양식	서울특별시 강남구 삼성동 153번지 47호		매일	서울특별시 강남구 삼성로100길 23-14 지상2층 (삼성동)	등심데이	11680	고깃집
			오전 11시 - 오후 11시		"17,000원"		
			금요일		삼겹살데이		
			오전 11시 - 오전 2시		"18,000원"		
					살치살 150g		
					"25,000원"		
경양식	서울특별시 강남구 삼성동 153번지 13호 1층	02 5548030	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로100길 23-5 (삼성동1층)	메뉴 정보가 없습니다.	11680	비타민카페
경양식	서울특별시 강남구 삼성동 154번지 2호 kims 101		매일	서울특별시 강남구 삼성로100길 24 kims 101 지하1층 (삼성동)	클라우드 생	11680	몬스터 컴퍼니
			오후 4시 - 오전 3시		"2,900원"		
			일요일		하이네켄 생		
			오후 4시 - 오전 1시		"4,900원"		
					기네스 생		
					"7,900원"		
경양식	서울특별시 강남구 삼성동 154번지 2호 kims 101		매일	서울특별시 강남구 삼성로100길 24 kims 101 지하1층 (삼성동)	클라우드 생	11680	몬스터 바
			오후 4시 - 오전 3시		"2,900원"		
			일요일		하이네켄 생		
			오후 4시 - 오전 1시		"4,900원"		
					기네스 생		
					"7,900원"		
경양식	서울특별시 강남구 삼성동 154번지 2호 kims 101		매일	서울특별시 강남구 삼성로100길 24 kims 101 지하1층 (삼성동)	활어물회	11680	(주)목포명가 코엑스
			오전 11시 30분 - 오후 10시 (연중무휴)		"15,000원"		
			토/일		멍게비빔밥		
			오전 11시 30분 - 오후 9시		"10,000원"		
					낙지한마리비빔밥		
					"10,000원"		
경양식	서울특별시 강남구 삼성동 153번지 60호	02 5654431	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로100길 27 (삼성동)	메뉴 정보가 없습니다.	11680	아이
경양식	서울특별시 강남구 삼성동 153번지 60호	02 5654431	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로100길 27 (삼성동)	메뉴 정보가 없습니다.	11680	아이바
경양식	서울특별시 강남구 삼성동 123번지 35호 1층		"월-금,토"	서울특별시 강남구 삼성로103길 30 (삼성동1층)	소고기쌀국수	11680	미스사이공
			오전 10시 30분 - 오후 8시 30분		"4,200원"		
			휴무일		닭쌀국수		
			매주 일요일		"4,200원"		
					볶음밥		
					"4,500원"		
경양식	서울특별시 강남구 삼성동 151번지 29호 지상2층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 10 (삼성동지상2층)	메뉴 정보가 없습니다.	11680	배럴
경양식	서울특별시 강남구 삼성동 149번지 26호 지상1층	0-518-3455	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 11 (삼성동지상1층)	메뉴 정보가 없습니다.	11680	본투비
경양식	서울특별시 강남구 삼성동 152번지 지하1층	0-508-3754	"월,수,목,금"	서울특별시 강남구 삼성로104길 12 지하1층 (삼성동)	5꼬치	11680	화
			오후 6시 - 오전 3시		"15,000원"		
			토/일				
			오후 6시 - 오전 4시				
경양식	서울특별시 강남구 삼성동 152번지 지하1층	0-508-3754	월-금	서울특별시 강남구 삼성로104길 12 지하1층 (삼성동)	Bocconcini caprese skewers	11680	바 152 (BAR 152)
			오후 6시 - 오전 3시		"14,000원"		
			토요일		Fruit&cheese plate		
			오후 6시 - 오전 3시		"25,000원"		
					Marinated olives		
					"6,000원"		
경양식	서울특별시 강남구 삼성동 152번지 지하1층	0-508-3754	월-금	서울특별시 강남구 삼성로104길 12 지하1층 (삼성동)	아메리카노	11680	타이거레어(Tiger lair)
			정오 12시 - 오후 10시		"4,000원"		
			일요일				
			정오 12시 - 오후 6시				
경양식	서울특별시 강남구 삼성동 152번지 64호 지하1층	02 5666070	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 14 (삼성동지하1층)	메뉴 정보가 없습니다.	11680	임프레샤켓츠
경양식	서울특별시 강남구 삼성동 152번지 64호 지하1층	02 5666070	매일	서울특별시 강남구 삼성로104길 14 (삼성동지하1층)	바지락칼국수	11680	소담
			오전 11시 - 오후 10시		"8,000원"		
					닭칼국수		
					"8,000원"		
					팥칼국수		
					"8,000원"		
경양식	서울특별시 강남구 삼성동 149번지 28호		매일	서울특별시 강남구 삼성로104길 15 지하1층 (삼성동)	하우스와인	11680	플렉스 FLEX
			오후 6시 - 오전 2시 (매주 월요일 휴무)		"3,500원"		
					레드와인		
					화이트와인		
경양식	서울특별시 강남구 삼성동 152번지 54호 지하1층	02 5570897	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 16 (삼성동지하1층)	메뉴 정보가 없습니다.	11680	쿠시일오이
경양식	서울특별시 강남구 삼성동 152번지 55호 지하1층	02 5382676	매일	서울특별시 강남구 삼성로104길 18 (삼성동지하1층)	고르곤졸라피자	11680	아미고
			오후 2시 - 오전 4시		"8,900원"		
					마르게리따피자		
					"8,900원"		
					디아볼라피자		
					"14,000원"		
경양식	서울특별시 강남구 삼성동 148번지 13호		매일	서울특별시 강남구 삼성로104길 21 23층 (삼성동)	피자	11680	오스카
			오후 5시 - 오전 3시		"26,500원"		
					파스타		
					"20,000원"		
					샐러드		
					"17,000원"		
경양식	서울특별시 강남구 삼성동 148번지 13호		매일	서울특별시 강남구 삼성로104길 21 지상2층 (삼성동)	피자	11680	오스카
			오후 5시 - 오전 3시		"26,500원"		
					파스타		
					"20,000원"		
					샐러드		
					"17,000원"		
경양식	서울특별시 강남구 삼성동 148번지 13호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 21 지상3층 (삼성동)	메뉴 정보가 없습니다.	11680	비팀
경양식	서울특별시 강남구 삼성동 153번지 1호 하영빌딩 지하1층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 24 지하1층 (삼성동 하영빌딩)	메뉴 정보가 없습니다.	11680	엠
경양식	서울특별시 강남구 삼성동 153번지 1호 하영빌딩 지하1층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로104길 24 지하1층 (삼성동 하영빌딩)	메뉴 정보가 없습니다.	11680	셉스(SEB'S)
경양식	서울특별시 강남구 삼성동 150번지 25호 지상12층	02 562 9262	월-금	서울특별시 강남구 삼성로104길 9 (삼성동지상12층)	마르게리따 피자	11680	까발로비안코
			오전 11시 - 오전 2시		"18,000원"		
			토/일		까르보나라		
			정오 12시 - 오전 1시		"16,000원"		
					스테이크 샐러드		
					"25,000원"		
경양식	서울특별시 강남구 삼성동 149번지 2호 시대제1빌딩		매일	서울특별시 강남구 삼성로108길 18 지상1층 111 112호 (삼성동 시대제1빌딩)	양갈비 프렌치랙	11680	켄마
			"오후 5시 30분 - 오후 10시 30분 (주차가능, 예약필수)"		"29,000원"		
					양갈비 숄더랙		
					"27,000원"		
					양등심		
					"25,000원"		
경양식	서울특별시 강남구 삼성동 147번지 13호 카리브		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로108길 23 지상1층 (삼성동)	메뉴 정보가 없습니다.	11680	더펍 비스트로
경양식	서울특별시 강남구 삼성동 145번지 21호 지하1층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로108길 7 (삼성동지하1층)	메뉴 정보가 없습니다.	11680	샤인
경양식	서울특별시 강남구 삼성동 71번지 24호 지하1층-지상1층	02 543 2847	매일	서울특별시 강남구 삼성로112길 10 지하1층-지상1층 (삼성동)	마파두부 소	11680	차이린
			오전 11시 30분 - 오후 9시 30분		"20,000원"		
			쉬는시간 매일		꿔바로우 소		
			오후 3시 - 오후 5시		"25,000원"		
					양장피		
					"36,000원"		
경양식	서울특별시 강남구 삼성동 65번지 11호	02-3444-1682	밀푀유나베	서울특별시 강남구 삼성로120길 7 (삼성동)	메뉴 정보가 없습니다.	11680	희야 레스토랑
			"20,000원"				
			치즈새우퐁듀				
			"18,000원"				
			나가사끼짬뽕				
			"18,000원"				
경양식	서울특별시 강남구 삼성동 65번지 11호	02-3444-1682	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로120길 7 (삼성동)	메뉴 정보가 없습니다.	11680	진미가정식백반
경양식	서울특별시 강남구 청담동 46번지 11호 지하2층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로133길 15 (청담동지하2층)	메뉴 정보가 없습니다.	11680	펜오브유
경양식	서울특별시 강남구 청담동 31번지 15호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로133길 4 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	이리스
경양식	서울특별시 강남구 청담동 32번지 3호		매일	서울특별시 강남구 삼성로133길 8 지하1층 (청담동)	와인	11680	와사
			오후 5시 - 오전 5시		"10,000원"		
					안주		
					"10,000원"		
경양식	서울특별시 강남구 청담동 63번지 11호 라파빌딩 지상1층		매일	서울특별시 강남구 삼성로140길 6 지상1층 (청담동 라파빌딩)	점심	11680	익스퀴진(exquisine)
			정오 12시 - 오후 3시 (점심)		"55,000원"		
			매일		저녁		
			오후 6시 - 오후 10시 (저녁)		"110,000원"		
경양식	서울특별시 강남구 청담동 9번지 9호		"화,수,목,금,토/일"	서울특별시 강남구 삼성로141길 6 지상1층 (청담동)	통실돈까스	11680	피자 리카
			오전 11시 30분 - 오후 9시 (Last order 20:30)		"7,000원"		
			휴무일		고르곤졸라 피자		
			매주 월요일		"9,900원"		
					할라피뇨피자		
					"9,900원"		
경양식	서울특별시 강남구 청담동 9번지 1층-102		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로145길 3 1층 102호 (청담동)	메뉴 정보가 없습니다.	11680	？스 스토리
경양식	서울특별시 강남구 청담동 62번지		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로146길 10 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	가을
경양식	서울특별시 강남구 청담동 62번지		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로146길 10 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	동화책
경양식	서울특별시 강남구 청담동 62번지		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로146길 10 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	깨구리
경양식	서울특별시 강남구 청담동 62번지 14호 지상1층	02 5183177	"월-금,토"	서울특별시 강남구 삼성로146길 4 (청담동지상1층)	돈가스	11680	소스
			오전 11시 - 오후 10시		"9,000원"		
			휴무일		스페셜가스		
			매주 일요일		"13,000원"		
					햄버거가스		
					"10,000원"		
경양식	서울특별시 강남구 청담동 12번지 5호		"수-금,토/일"	서울특별시 강남구 삼성로149길 17 1층 101호 (청담동)	그릭모모	11680	SPITICO(스피티코)
			오전 11시 - 오후 4시		"15,500원"		
			수요일		바나나그릭요거트		
			오전 11시 - 오후 4시		"10,000원"		
					아보카도오픈샌드위치		
					"15,500원"		
경양식	서울특별시 강남구 청담동 12번지 1호 지상1층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로149길 21 (청담동지상1층)	메뉴 정보가 없습니다.	11680	더치스카페
경양식	서울특별시 강남구 청담동 12번지 15호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로149길 7 지하1층 (청담동)	메뉴 정보가 없습니다.	11680	화이트와인개러지
경양식	서울특별시 강남구 개포동 187번지 주공5단지상가 1층-107-1		월-금	서울특별시 강남구 삼성로4길 17 107-1호 (개포동 주공5단지상가 1층)	마라샹궈 대	11680	마라모
			오전 11시 30분 - 오후 11시 (LAST OEDER 22:00)		"53,000원"		
			토/일		마라샹궈 소		
			오전 11시 30분 - 오후 11시 (LAST OEDER 22:00)		"38,000원"		
					마파두부덮밥		
					"12,000원"		
경양식	서울특별시 강남구 대치동 1016번지 5호	02-0566-3183	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로57길 19 (대치동)	메뉴 정보가 없습니다.	11680	검은나비
경양식	서울특별시 강남구 대치동 934번지 18호	02 5668388	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로61길 48 (대치동)	메뉴 정보가 없습니다.	11680	디오니소스
경양식	서울특별시 강남구 대치동 932번지 11호		"화,수,목,금,토/일"	서울특별시 강남구 삼성로63길 15 지상2층 (대치동)	마르게리타 피자	11680	피자리아 시오
			오전 11시 30분 - 오후 9시 30분		"12,000원"		
			휴무일		디아볼라 피자		
			매주 월요일		"14,900원"		
					소고기버섯피자		
					"16,900원"		
경양식	서울특별시 강남구 대치동 913번지 25호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로69길 11 지상1층 104호 (대치동)	메뉴 정보가 없습니다.	11680	쿠사파스타
경양식	서울특별시 강남구 대치동 913번지 0호 대한빌딩지하1층		매일	서울특별시 강남구 삼성로71길 9 (대치동대한빌딩지하1층)	메뉴 정보가 없습니다.	11680	레꼴(L'ECOLE)
			오후 6시 - 오전 1시				
경양식	서울특별시 강남구 대치동 913번지 0호 대한빌딩지하1층		매일	서울특별시 강남구 삼성로71길 9 (대치동대한빌딩지하1층)	메뉴 정보가 없습니다.	11680	레꼬르(L'ECOLE)
			오후 6시 - 오전 1시				
경양식	서울특별시 강남구 대치동 913번지 0호 대한빌딩지하1층		"월,수,목,금,토/일"	서울특별시 강남구 삼성로71길 9 (대치동대한빌딩지하1층)	샐러드	11680	피아노
			오전 11시 30분 - 오후 9시 30분 ( 라스트오더 20:10 )		"15,000원"		
			"쉬는시간 매주 월,수,목,금,토/일"		파스타		
			오후 3시 - 오후 5시 30분 ( 라스트오더 20:10 )		"16,000원"		
					피자		
					"21,000원"		
경양식	서울특별시 강남구 대치동 913번지 0호 대한빌딩지하1층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로71길 9 (대치동대한빌딩지하1층)	메뉴 정보가 없습니다.	11680	페가수스
경양식	서울특별시 강남구 대치동 903번지 7호	02 591 4827	"월-금,토"	서울특별시 강남구 삼성로75길 17 1층 (대치동)	장군정식	11680	댓짱돈까스
			오전 11시 - 오후 8시 30분 (명절 휴무)		"15,500원"		
			쉬는시간 매주 월-금		댓짱정식		
			오후 3시 - 오후 5시		"14,500원"		
					로스장군정식		
					"14,000원"		
경양식	서울특별시 강남구 대치동 903번지 7호	02 591 4827	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로75길 17 1층 (대치동)	메뉴 정보가 없습니다.	11680	선릉 대치 삼성 맛집 댓짱돈까스
경양식	서울특별시 강남구 대치동 901번지 60호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로75길 32 1층 101호 (대치동)	메뉴 정보가 없습니다.	11680	하프컷
경양식	서울특별시 강남구 대치동 901번지 64호 지하1층		"월-금,토"	서울특별시 강남구 삼성로81길 25 (대치동지하1층)	타로 운세당	11680	하늘
			정오 12시 - 오후 8시		"10,000원"		
			휴무일		사주(1인당)		
			"매주 월,일"		"30,000원"		
					커피음료		
					3000~4000		
경양식	서울특별시 강남구 대치동 957번지 22호 지상1층	02 558 2282	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로82길 15 (대치동지상1층)	메뉴 정보가 없습니다.	11680	22번가
경양식	서울특별시 강남구 대치동 957번지 7호 1층	02 34520193	매일	서울특별시 강남구 삼성로84길 15 (대치동1층)	유니자장면	11680	광교옥
			오전 11시 - 오후 9시		"6,000원"		
					짬뽕		
					"7,000원"		
					볶음밥		
					"6,500원"		
경양식	서울특별시 강남구 대치동 957번지 7호 1층	02 34520193	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로84길 15 (대치동1층)	메뉴 정보가 없습니다.	11680	뜰아네
경양식	서울특별시 강남구 대치동 957번지 7호 1층	02 34520193	매일	서울특별시 강남구 삼성로84길 15 (대치동1층)	명란버터구이	11680	반반
			오후 5시 30분 - 정오 12시 (일요일 휴무)		"10,000원"		
			휴무일		육전		
			"매주 공휴일 (설날,추석 쉽니다.)"		"19,000원"		
					바지락술찜		
					"16,000원"		
경양식	서울특별시 강남구 대치동 957번지 7호 1층	02 34520193	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로84길 15 (대치동1층)	메뉴 정보가 없습니다.	11680	제주 은희네 해장국 대치점
경양식	서울특별시 강남구 대치동 956번지 21호 지하1층	02 5680858	매일	서울특별시 강남구 삼성로84길 32 (대치동지하1층)	에스프레소	11680	이십일
			오전 10시 - 오후 10시		"3,000원"		
경양식	서울특별시 강남구 대치동 957번지 31호 지상1층	02 517 6864	매일	서울특별시 강남구 삼성로84길 6 (대치동지상1층)	아메리카노	11680	에이치
			오전 10시 - 오후 10시		"3,500원"		
					파블로바		
					"8,500원"		
경양식	서울특별시 강남구 대치동 957번지 11호		"화,수,목,금,토/일"	서울특별시 강남구 삼성로84길 7 지하1층 (대치동)	쌈싸먹는 또띠아 돈까스	11680	제이하우스
			오전 11시 - 오후 9시		"12,000원"		
			휴무일		이보다 맛있을 라구 볼로네제 파스타		
			매주 월요일		"12,000원"		
					안녕하새우 크림 파스타		
					"12,000원"		
경양식	서울특별시 강남구 대치동 893번지		매일	서울특별시 강남구 삼성로85길 11 지하1층 1516호 (대치동)	파울라너 바이스	11680	파울라너
			오후 6시 - 오전 2시 (연중무휴)		"8,000원"		
					파울라너샘플러		
					"12,000원"		
					슈바인스학세		
					"27,900원"		
경양식	서울특별시 강남구 대치동 894번지		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로85길 33 지상1층 102-3호 (대치동)	메뉴 정보가 없습니다.	11680	앤바
경양식	서울특별시 강남구 대치동 894번지	02 556 4829	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로85길 33 현대썬앤빌 테헤란 지상1층 107호 (대치동)	메뉴 정보가 없습니다.	11680	오케이펍
경양식	서울특별시 강남구 대치동 895번지 1호 가리온빌딩 지하1층		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로85길 39 (대치동가리온빌딩 지하1층)	메뉴 정보가 없습니다.	11680	더 가리온
경양식	서울특별시 강남구 대치동 895번지 1호 가리온	02 554 6653	월-금	서울특별시 강남구 삼성로85길 39 지상2층 2호 (대치동 가리온)	더블바스버거	11680	바스버거 선릉점
			오전 11시 - 오후 10시 30분 (L.O 버거 21:30 / 프라이 22:00 / Break Time - 금요일 15:30~16:00)		"8,700원"		
			토/일		하와이안버거		
			오전 11시 30분 - 오후 9시 (L.O 버거 / 프라이 20:00)		"7,700원"		
					탐욕버거		
					"11,800원"		
경양식	서울특별시 강남구 대치동 895번지 0호 호성빌딩6층	02 501 4283	월-금	서울특별시 강남구 삼성로85길 43 (대치동호성빌딩6층)	워터에이징삼겹살	11680	삼십육점구(36.9)
			오후 3시 - 오전 3시 (연중무휴)		"13,000원"		
			토/일		꽃삼겹살(180g)꽃목살		
			오전 11시 30분 - 오전 3시 (연중무휴)		"14,000원"		
					수제냉면(점심메뉴)		
					"3,900원"		
경양식	서울특별시 강남구 대치동 895번지 0호 호성빌딩6층	02 501 4283	크리스피치킨(필바든치킨)	서울특별시 강남구 삼성로85길 43 (대치동호성빌딩6층)	메뉴 정보가 없습니다.	11680	필바
			"10,500원"				
			양념치킨				
			"12,000원"				
			매운양념치킨				
			"13,000원"				
경양식	서울특별시 강남구 대치동 893번지 -비04	02 20880630	커피	서울특별시 강남구 삼성로85길 지하 11 비04호 (대치동)	메뉴 정보가 없습니다.	11680	커피코트(포스코센터점)
			"1,000원"				
경양식	서울특별시 강남구 대치동 893번지 -비04	02 20880630	스페셜티커피	서울특별시 강남구 삼성로85길 지하 11 비04호 (대치동)	메뉴 정보가 없습니다.	11680	골드바틀
			"3,000원"				
			아메리카노				
			"2,500원"				
			월드 베스트 티				
			"3,500원"				
경양식	서울특별시 강남구 대치동 957번지 5호	02 501 5902	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로86길 14 (대치동)	메뉴 정보가 없습니다.	11680	엠
경양식	서울특별시 강남구 대치동 957번지 6호		매일	서울특별시 강남구 삼성로86길 16 지상3층 (대치동)	무한리필(대인)	11680	드루와
			오전 11시 - 오후 10시		"4,900원"		
					무한리필(소인)		
					"3,900원"		
					감자튀김		
					"4,000원"		
경양식	서울특별시 강남구 대치동 956번지 0호	02 5529909	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로86길 18 (대치동)	메뉴 정보가 없습니다.	11680	바젤
경양식	서울특별시 강남구 대치동 956번지 1호 지상2층	02 5016356	매일	서울특별시 강남구 삼성로86길 20 (대치동지상2층)	먹태	11680	이프로
			오후 5시 - 자정 12시		"15,000원"		
경양식	서울특별시 강남구 대치동 956번지 1호 지하1층	02 5690132	매일	서울특별시 강남구 삼성로86길 20 (대치동지하1층)	Domestic beer	11680	일프로
			오후 8시 - 오전 5시		"8,000원"		
					Imported beer		
					"10,000원"		
					Whisky 1bottle		
					"150,000원"		
경양식	서울특별시 강남구 대치동 956번지 1호 지하1층	02 5690132	매일	서울특별시 강남구 삼성로86길 20 (대치동지하1층)	디센트라떼	11680	DECENTE(디센트)
			오전 9시 - 오후 11시		"4,000원"		
경양식	서울특별시 강남구 대치동 956번지 1호 지하1층	02 5690132	매일	서울특별시 강남구 삼성로86길 20 (대치동지하1층)	디센트라떼	11680	DECENT(디센트)
			오전 9시 - 오후 11시		"4,000원"		
경양식	서울특별시 강남구 대치동 956번지 2호 2층	02 5574123	매일	서울특별시 강남구 삼성로86길 22 (대치동2층)	조식	11680	테라스
			정오 12시 - 오후 2시 30분 (점심)		"55,000원"		
			월-금		주중 점심		
			오전 6시 30분 - 오전 10시 (조식)		"95,000원"		
					주중 저녁		
					"115,000원"		
경양식	서울특별시 강남구 대치동 956번지 2호 지하1층	02 5645323	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로86길 22 (대치동지하1층)	메뉴 정보가 없습니다.	11680	에이원
경양식	서울특별시 강남구 대치동 956번지 5호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로86길 28 (대치동)	메뉴 정보가 없습니다.	11680	브라운 치킨
경양식	서울특별시 강남구 대치동 956번지 5호	02 554 2414	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로86길 28 지상2층 (대치동)	메뉴 정보가 없습니다.	11680	자
경양식	서울특별시 강남구 대치동 956번지 5호	02 554 2414	영업시간 정보가 없습니다.	서울특별시 강남구 삼성로86길 28 지상2층 (대치동)	메뉴 정보가 없습니다.	11680	엑시트( EXIT )
경양식	서울특별시 강남구 대치동 957번지 1호		영업시간 정보가 없습니다.	서울특별시 강남구 삼성로86길 6 지상2층 (대치동)	메뉴 정보가 없습니다.	11680	파스타빌
경양식	서울특별시 강남구 삼성동 143번지 34호 1층	02 5085225	매일	서울특별시 강남구 삼성로91길 38 (삼성동1층)	메뉴 정보가 없습니다.	11680	쌍쌍족발
			오후 4시 - 자정 12시 (주말 영업 유동적)				
